dhtTemp,dhthum,LDR value,rainValue,pressure,altitude,aqi value,rainStatusNum,AQI_Category
32.92,81.37,113,869,1011.40607,4.95199,189,1,Good
32.71,81.83,316,847,1011.40033,5.00028,176,1,Good
32.73,85.59,329,855,1011.37671,5.19698,200,1,Good
32.74,83.6,927,822,1011.36487,5.29559,201,1,Good
32.75,83.3,874,821,1011.34186,5.48777,194,1,Good
33.79,86.85,336,831,1011.32617,5.61857,191,1,Good
33.81,88.86,351,816,1011.323,5.64523,186,1,Good
34.01,86.51,704,708,1011.29187,5.90484,195,1,Good
34.03,87,543,820,1011.27966,6.00646,193,1,Good
34.04,83.35,487,812,1011.24921,6.26054,192,1,Good
34.08,90.71,482,811,1011.25079,6.24746,225,1,Good
34.14,89.2,502,818,1011.26001,6.17048,223,1,Good
33.55,88.99,379,817,1011.2807,5.99791,177,1,Good
33.01,78.46,421,772,1011.29687,5.86308,162,1,Good
33.3,80.09,377,717,1011.29486,5.87968,137,1,Good
32.79,94.16,376,718,1011.27325,6.05979,129,1,Good
33.24,90.13,384,738,1011.26984,6.08847,126,1,Good
33.11,86.47,388,713,1011.22321,6.47739,131,1,Good
33.1,82.67,389,739,1011.20673,6.61475,133,1,Good
33.05,76.43,382,792,1011.20953,6.5916,125,1,Good
33.14,73.4,884,793,1011.22314,6.47789,124,1,Good
33.02,75.6,933,675,1011.22778,6.43915,123,1,Good
33.07,78.29,689,680,1011.22736,6.44267,50,1,Good
33.19,88.63,653,674,1011.20667,6.61525,49,1,Good
33.16,92.81,624,725,1011.16174,6.9901,53,1,Good
33.13,89.61,614,705,1011.16296,6.98004,57,1,Good
33.17,94.48,649,685,1011.1756,6.87437,51,1,Good
33.33,94.91,644,686,1011.15326,7.06105,60,1,Good
33.37,96.01,636,684,1011.14825,7.10231,55,1,Good
33.44,89.13,662,676,1011.12585,7.28949,77,1,Good
33.49,86.69,578,688,1011.1189,7.34735,109,1,Good
33.52,87.31,992,723,1011.11438,7.38509,81,1,Good
33.57,87.24,629,768,1011.12061,7.33326,65,1,Good
33.58,80.64,615,734,1011.12231,7.31917,99,1,Good
33.61,83.12,598,724,1011.11139,7.41025,98,1,Good
33.62,83.38,907,742,1011.13892,7.1803,94,1,Good
33.64,81.21,913,778,1011.14081,7.1647,92,1,Good
33.63,87.28,982,873,1011.11768,7.35741,87,1,Good
33.67,90.29,307,775,1011.117,7.36345,88,1,Good
33.68,85.55,904,673,1011.09985,7.50636,86,1,Good
33.7,88.47,488,808,1011.10626,7.45302,84,1,Good
33.69,88.42,917,864,1011.13049,7.25074,82,1,Good
33.71,88.31,261,854,1011.12518,7.29502,79,1,Good
34.2,84.07,944,862,1011.12128,7.32773,75,1,Good
34.37,86.02,931,857,1011.11389,7.38911,80,1,Good
34.23,83.45,898,783,1011.11096,7.41377,78,1,Good
34.17,84.04,637,782,1011.1214,7.32672,63,1,Good
34.09,92.66,634,780,1011.12408,7.30408,46,1,Good
33.97,91.48,724,819,1011.10803,7.43792,38,1,Good
33.96,90.63,317,881,1011.12439,7.30156,42,1,Good
33.94,81.16,619,860,1011.11938,7.34333,40,1,Good
33.95,80.68,665,876,1011.10278,7.4817,36,1,Good
33.99,83.7,652,894,1011.09186,7.57278,39,1,Good
34,82.93,642,884,1011.09875,7.51541,35,1,Good
34.02,85.63,628,893,1011.11658,7.36697,33,1,Good
33.98,85.43,682,909,1011.11523,7.37805,30,1,Good
33.93,81.56,673,888,1011.1156,7.37503,32,1,Good
33.89,83.24,625,908,1011.11993,7.3388,19,1,Good
33.85,88.55,313,781,1011.10577,7.45704,37,1,Good
33.87,79.54,374,614,1011.10016,7.50384,34,1,Good
33.9,78.24,602,598,1011.10565,7.45805,27,1,Good
33.92,78.84,620,525,1011.09839,7.51843,31,1,Good
33.91,85.61,980,470,1011.09534,7.5441,18,0,Good
30.66,86.53,607,890,1011.08221,7.65329,58,1,Good
30.64,92.01,600,889,1011.06268,7.81632,85,1,Good
30.61,83.89,610,679,1011.07751,7.69254,74,1,Good
30.55,88.1,640,690,1011.07062,7.75041,76,1,Good
30.54,92.24,604,677,1011.06158,7.82538,68,1,Good
30.57,90.9,670,666,1013.41296,-11.77151,71,1,Good
30.52,79.18,648,670,1013.44122,-12.00657,69,1,Good
30.49,77.46,622,866,1013.43298,-11.93826,72,1,Good
30.47,84.14,633,662,1013.38562,-11.54449,20,1,Good
30.5,74.42,616,626,1013.39471,-11.61983,23,1,Good
30.51,77.45,613,580,1013.28345,-10.69361,44,1,Good
30.41,81.01,645,592,1013.26154,-10.51077,64,1,Good
30.44,77.82,646,514,1013.26086,-10.50475,59,1,Good
30.46,76.76,687,567,1013.29065,-10.75289,41,1,Good
30.48,77.44,790,554,1013.29889,-10.82221,48,1,Good
30.45,82.76,681,600,1013.27374,-10.61224,10,1,Good
30.53,82.52,289,809,1013.25665,-10.47059,26,1,Good
30.43,79.97,267,547,1013.22455,-10.20235,24,1,Good
30.42,76.09,654,543,1013.18341,-9.85975,9,1,Good
30.4,72.17,690,535,1013.17084,-9.75526,28,1,Good
30.6,83.05,661,556,1013.15997,-9.66484,22,1,Good
30.62,85.24,657,480,1013.07281,-8.9394,25,0,Good
30.59,90.4,655,518,1013.04248,-8.6862,21,1,Good
30.68,87.38,658,552,1013.00073,-8.33852,29,1,Good
31.86,82.48,666,714,1012.97888,-8.15665,16,1,Good
31.88,80.4,973,737,1012.97144,-8.09434,17,1,Good
31.89,74.02,484,795,1012.95422,-7.95165,11,1,Good
29.37,72.69,442,799,1012.90967,-7.57984,4,1,Good
