dhtTemp,dhthum,LDR value,pressure,altitude,rainValue,rainStatusNum
34.93,90.16,556,1013.86139,-6.17786,628,1
35.93,93.37,557,1012.81281,-6.77286,355,0
34.72,83.14,558,1012.79272,-6.60603,365,0
34.9,82.74,465,1012.77612,-6.46734,351,0
34.87,76.02,452,1012.76843,-6.40402,113,0
34.81,82.61,461,1017.36719,-44.64458,315,0
34.78,79.09,583,1017.34564,-44.46634,328,0
34.8,87.55,554,1017.30109,-44.09583,927,1
34.82,87.99,214,1017.27533,-43.88253,336,0
34.74,97.23,356,1017.26208,-43.77237,487,0
34.79,88.28,293,1017.24451,-43.62616,482,0
34.77,82.4,288,1017.20612,-43.30769,502,1
34.71,79.21,277,1017.18158,-43.10439,379,0
34.69,84.71,302,1017.18048,-43.09538,420,0
34.33,78.53,401,1017.19226,-43.19252,377,0
34.49,78,406,1017.245,-43.63016,384,0
34.5,74.94,412,1017.27966,-43.91858,389,0
34.54,69.61,340,1017.3078,-44.15191,387,0
34.55,78.78,358,1017.28424,-43.95663,902,1
34.57,87.18,381,1017.26532,-43.79941,872,1
34.58,94.26,346,1017.26202,-43.7273,687,1
34.61,92.98,365,1017.25659,-43.78839,645,1
34.6,78.18,283,1017.26398,-43.85849,620,1
34.59,78.6,373,1017.2724,-44.08081,681,1
34.43,77.04,370,1017.29919,-44.27708,638,1
33.2,85.08,375,1017.32281,-44.41227,663,1
33.18,84.47,361,1017.33911,-44.35118,992,1
33.15,77.43,409,1017.33185,-44.56948,616,1
23,72.59,393,1017.35815,-49.8363,648,1
23,78.13,391,1017.9928,-49.67116,906,1
24,82.32,392,1017.97284,-49.70419,934,1
23,82.72,385,1017.97687,-49.69518,308,0
24,77.2,386,1017.97577,-50.09452,390,0
25,74.34,387,1018.02393,-50.02946,488,0
26,71.46,400,1018.01611,-50.10252,919,1
27,69.3,399,1018.02484,-50.08851,261,0
27,72.46,394,1018.02313,-50.28667,931,1
26.7,68.39,408,1018.04706,-50.80107,639,1
27,67.69,460,1018.10907,-50.85312,634,1
22,69.14,456,1018.1153,-51.05627,317,0
25,69.44,266,1018.13983,-51.42854,618,1
20.6,65.26,264,1018.18475,-51.70472,656,1
23.2,69.05,262,1018.21796,-51.9789,621,1
22.2,65.22,257,1018.25104,-52.71235,672,1
23,60.44,273,1018.33954,-53.33369,619,1
23,67.5,269,1018.41437,-53.76991,655,1
23,90.13,256,1018.46704,-53.98401,699,1
23,90.16,255,1018.4928,-54.24012,637,1
24.6,90.17,253,1018.52368,-54.38618,667,1
23.1,87.2,102,1018.54138,-54.22612,629,1
22.1,79.44,100,1018.52203,-54.34217,313,0
22,74.34,109,1018.53607,-54.44621,374,0
25,63.59,116,1018.54852,83.84582,596,1
24.8,56.3,114,1001.98206,84.32383,608,1
23,61.95,115,1001.92517,84.40392,602,1
21,65.17,104,1001.91565,81.02332,607,1
21.1,66.88,123,1002.31799,80.82772,658,1
23,67.16,118,1002.34125,22.58067,604,1
26,69.57,117,1009.29413,22.03394,642,1
27,71.68,157,1009.35956,21.93769,669,1
27.7,66.73,222,1009.37109,18.05498,668,1
27.2,68.39,166,1009.83594,18.11844,606,1
